ClientID;Name;ContactName;Country;Email;Phone
affe6916-d6f8-4ec1-96ef-a1758f0f09d1;Oliver-Lucas;Lisa Pruitt;Ireland;allisonanderson@example.com;001-313-894-1853x0779
a0d3c5b0-37b9-438c-9c45-bd2dd4652563;Rodriguez, Ruiz and Summers;Stephanie Long;France;brookeschroeder@example.org;307.608.1312
da89bff1-2f07-4dfb-b8f4-b825f2c846d8;Neal, Bates and Avila;Laurie Dominguez;Oman;cynthiarush@example.net;660-749-7879
14d67783-6d7a-4c25-a325-d4e7c53ecf7f;Johnson PLC;Julia Aguilar;Iran;elizabeth93@example.com;+1-561-563-9505
9676d851-11e8-4cf7-8fe8-8b7b97193bdb;Garza, Hernandez and Harris;Andrew Hodges;Portugal;patrickhernandez@example.com;001-780-983-0379x76363
4cf6ae7b-397f-407b-981a-1cad8cadd51c;Zimmerman, Pierce and Diaz;Danny Neal;United States of America;rodriguezstephen@example.org;807.259.3105x00511
c8013ac7-5042-4353-9836-53009197224c;Dalton-Sloan;David Richards;Sudan;andersonnicholas@example.com;7603103117
b341becd-d23b-48d1-80ba-f0ffe9563bd7;Quinn-Stewart;Russell Moore;Armenia;kaitlin41@example.com;+1-224-952-0530
688f87c3-4135-46ef-8a37-efab8c459997;Bryan-Martinez;Harold Smith;British Indian Ocean Territory (Chagos Archipelago);danieldavis@example.net;+1-408-242-2095x65384
72e946dc-6370-4161-8693-ca6c5f532a81;Porter, Barker and Molina;Mario Garcia;Turks and Caicos Islands;bennettmichael@example.org;781.540.6494x573
895dbe88-111c-4fac-bba8-0829769f3493;Joseph, Wood and Martin;Brittany Chung;Dominican Republic;patriciagarcia@example.net;862.523.5492
792c59a2-4f4e-4d57-80d3-e7dcbced5234;Stafford, Salazar and Berg;Chris Nelson;Ghana;katherinedavis@example.com;(620)362-5637
c8b348ef-bb81-438d-8f2b-2d6ab23c53b2;Allen-Gray;Thomas Frye;Comoros;zli@example.com;699.639.7165x10489
7f3f3dcc-e5c1-4335-a545-7df4e7040ec9;Thompson-Sims;Barry Thomas;Saint Helena;bkeller@example.org;404-687-6461x4001
53dc72d7-93de-43b2-ba36-68483ca40b36;Torres Group;Margaret Henderson;Bangladesh;prattjason@example.com;(932)684-2399x36955
5ba0b6c3-4545-444d-b1ce-5c99637a90de;Walsh, Riggs and Mitchell;George Hart;Sierra Leone;haguilar@example.com;269-678-9714x491
cf39d4de-b843-40f3-85fd-cb965b27cf05;Hudson, Vega and Anthony;Aaron Hamilton;Somalia;oallen@example.net;4409255555
00381dfb-74ca-456c-ad73-7905ac68bfbf;Humphrey-Cox;Bryan Perez;Saint Pierre and Miquelon;william09@example.com;6445956049
d26b5619-1632-4211-b9b1-60235d2dba48;Dodson Inc;Lori Johnson;Myanmar;salazargilbert@example.com;8508407784
3deb0665-db8a-4fd0-897a-696c1e625b86;Flores Group;Jacqueline Harding;Andorra;tleon@example.org;+1-710-510-3422x550
f65fecb9-45ae-40a8-8663-9730d61c3a48;Smith and Sons;Dana Hayes;Thailand;braycurtis@example.com;001-693-931-1789x4201
849b2f14-39a5-4b5a-804a-8d5fb905878f;Bond Group;Courtney Peters;Gambia;james56@example.org;+1-251-887-5466x35568
66aba1b7-7a61-48f9-9ed8-30ed1b5d88b7;Mcbride LLC;Phillip Davis;Mongolia;coxtim@example.org;526.285.8051
851894da-b069-46d6-a5d5-4e514489b952;Nichols-Wagner;Amanda Rodgers;Indonesia;christianjoshua@example.org;001-523-988-4828x224
50fb07a9-d1ec-45ef-ba13-7c737ed0ad5a;Griffin, Burnett and Camacho;Gabriel Adkins;Lithuania;dannyrodriguez@example.org;(730)877-0218
a7fbc0a1-1baa-4ee6-9c38-bb4a4dbddb73;Welch, Kelly and Garcia;Megan Green;China;pateljonathon@example.net;760.482.5827
51579cec-38f4-483f-89bc-03c0138f724f;Murray, Hancock and Hernandez;Laurie Olson;Cape Verde;jamesrichardson@example.org;001-370-841-1959x5013
f67f964e-0b39-49f6-a4d2-98f1f954bb33;Flores LLC;Beth Ward;Puerto Rico;rhodessherri@example.com;335-488-2988x879
9c47a539-33fb-49ac-aea5-9c5f933e6aac;Jackson and Sons;Tyler Gonzales;Croatia;qwalker@example.org;399.666.3808x96745
20780f44-59aa-4485-90d5-cdf63bd8ea70;Holland, Hernandez and Austin;Sandra Grant;Syrian Arab Republic;opace@example.com;+1-449-377-1442x74019
5391de7b-fd01-4efe-8ca9-059b93a8cd7d;Mann-Martin;Lindsey Smith;Suriname;velasquezlawrence@example.net;(454)400-7841x902
